photos_count,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,professional_management,min_nights,cancellation_policy,cleaning_fee,extra_guest_fee,num_reviews,ttm_revenue,ttm_avg_rate,ttm_blocked_days,ttm_total_days,distance_from_city_center,city_population,luxury_score,basic_count,comfort_count,kitchen_count,safety_count,outdoor_count,family_count,services_count,has_pool,has_hot_tub,has_gym,has_beach_access,has_dedicated_workspace,has_pets_allowed,has_free_parking_on_premises,has_air_conditioning,total_amenities,comfort_to_total_ratio,rarity_score,avg_rating,listing_type_apartment,listing_type_bungalow,listing_type_condo,listing_type_home,listing_type_hospitality,listing_type_loft,listing_type_luxury_unique,listing_type_nature_stay,listing_type_other,listing_type_unique_stay,listing_type_villa,room_type_entire_home,room_type_hotel_room,room_type_private_room,room_type_shared_room,geographic_zone_Africa,geographic_zone_Asia Pacific,geographic_zone_Europe,geographic_zone_Latin America,geographic_zone_Middle East,geographic_zone_Northern America
34.0,1,5.5733,-0.196,2.0,1.0,1.0,1.5,0,0,2.0,5,0.0,0.0,4.276666119016055,8.846353043314327,3.758871825933971,103,365,1.0729621950807586,1963264,0,4,2,6,2,2,0,2,0,0,0,0,1,0,1,1,29,0.07,0.0011319851653273962,4.852857142857141,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
14.0,0,5.586,-0.1673,2.0,2.0,2.0,1.0,0,0,4.0,5,50.0,0.0,4.02535169073515,8.768574284141687,4.229749199228304,56,365,1.5747860288310385,44000,10,4,2,2,3,0,0,0,1,1,1,0,1,0,1,1,25,0.08,0.0013613496964429359,4.671428571428571,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
10.0,1,5.561,-0.1856,2.0,1.0,1.0,1.0,0,0,5.0,5,20.0,10.0,3.091042453358316,7.837554360881084,3.9945242269398897,72,365,0.3527774449867228,44000,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0.29,0.0001480194357861139,4.942857142857143,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
14.0,1,5.5534,-0.1795,4.0,2.0,1.0,0.0,0,0,2.0,5,10.0,20.0,4.0943445622221,7.450079569807499,4.21803603456465,85,365,0.6297222689247527,44000,5,4,2,6,4,2,0,2,0,1,1,0,0,1,1,1,37,0.05,0.002238312620595132,4.902857142857143,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
13.0,1,5.6235,-0.179,4.0,2.0,1.0,0.0,0,0,3.0,5,25.0,18.0,4.68213122712422,7.261225091971921,3.8815637979434374,0,365,1.7955868600857627,101207,5,4,2,6,4,4,1,2,0,0,0,0,1,0,1,1,41,0.05,0.003237362549388984,4.832857142857143,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
72.0,0,5.6704,-0.185,4.0,2.0,2.0,2.0,1,0,3.0,5,53.0,0.0,2.995732273553991,9.615405400063008,4.084294226368599,62,365,1.247005061559011,101207,0,4,2,6,2,0,0,0,0,0,0,0,1,1,1,1,26,0.07,0.0008945359057170256,4.812857142857142,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
15.0,1,5.6235,-0.179,4.0,2.0,2.0,0.0,0,0,3.0,5,25.0,18.0,4.31748811353631,6.539585955617669,3.8877303128591016,0,365,1.7955868600857627,101207,2,4,2,5,4,3,1,2,0,0,0,0,1,1,1,1,39,0.05,0.002203593931951319,4.887142857142857,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
10.0,0,5.5969,-0.1224,4.0,2.0,1.0,0.0,0,0,2.0,8,5.0,8.0,3.2188758248682006,5.198497031265826,2.8791984572980396,0,365,1.1738619307148737,144013,5,3,1,2,1,3,0,3,0,0,0,1,1,1,1,0,31,0.03,0.0030201368660398844,4.618571428571429,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
14.0,0,5.6367,-0.1444,3.0,1.0,2.0,1.5,0,0,2.0,5,20.0,0.0,3.8066624897703196,7.05444965813294,4.26689632742025,206,365,1.5767168135794585,101207,0,4,3,6,0,3,1,2,0,0,0,0,1,0,1,1,37,0.08,0.0032732677094600253,4.8914285714285715,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
22.0,0,5.5816,-0.1451,4.0,2.0,2.0,0.0,0,0,1.0,6,0.0,0.0,3.367295829986474,8.552946361122055,3.572345637857985,53,365,1.6483275544632814,144013,0,4,0,4,0,1,1,2,0,0,0,0,1,0,0,0,27,0.0,0.0016730200221063275,4.75,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
35.0,0,5.6332,-0.0897,6.0,3.0,3.0,3.5,0,0,4.0,5,40.0,0.0,3.6635616461296463,8.27664912542186,4.009149716158869,0,365,1.5760890045543685,70483,3,4,3,5,3,2,1,0,1,0,0,0,1,0,1,1,34,0.09,0.001890822235110123,4.640000000000001,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
36.0,0,5.6319,-0.0897,6.0,3.0,4.0,3.5,0,0,4.0,5,40.0,0.0,4.060443010546419,8.48528964240323,4.028916756899646,39,365,1.5479161033391289,70483,3,4,3,5,3,2,2,2,1,0,0,0,1,0,1,1,40,0.07,0.0020790899971653916,4.615714285714286,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False
31.0,0,5.6322,-0.0898,2.0,1.0,2.0,1.5,0,0,4.0,5,30.0,0.0,3.367295829986474,6.871091294610546,3.744787086052232,16,365,1.5553480314374035,70483,7,4,2,5,3,4,0,2,1,0,1,0,1,0,1,1,39,0.05,0.0017479336296339792,4.417142857142857,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
9.0,0,5.6323,-0.0939,2.0,1.0,1.0,1.5,0,0,3.0,5,10.0,0.0,2.0794415416798357,6.18826412308259,3.6609942506244004,0,365,1.597233414060551,70483,0,4,3,3,4,2,0,1,0,0,0,0,1,0,1,1,38,0.08,0.002639710309351503,4.815714285714285,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
14.0,1,5.6239,-0.1794,4.0,2.0,1.0,0.0,0,0,3.0,5,25.0,18.0,4.624972813284271,8.239065331769268,3.775057150354989,0,365,1.7912956681440408,101207,2,4,2,5,4,3,1,2,0,0,0,0,1,1,1,1,41,0.05,0.0027973588042260657,4.902857142857143,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
9.0,1,5.5545,-0.1711,3.0,2.0,2.0,2.0,0,0,1.0,5,10.0,0.0,4.23410650459726,9.505022884072709,3.8918202981106265,3,365,1.0011005457885336,44000,3,3,2,2,2,0,0,1,0,1,0,0,0,0,1,1,26,0.07,0.0013067960622877444,4.788571428571429,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False
14.0,1,5.6235,-0.1795,2.0,1.0,1.0,1.0,0,0,3.0,4,25.0,18.0,4.02535169073515,8.252967195000798,3.824284091120139,36,365,1.7988494342044539,101207,2,4,2,6,4,3,1,2,0,0,0,0,1,1,1,1,40,0.05,0.002208168268406382,4.935714285714286,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
29.0,0,5.5556,-0.1797,2.0,1.0,1.0,1.0,0,0,1.0,4,33.0,0.0,4.997212273764115,7.557994958530806,4.104294893075269,63,365,0.5679663557692122,44000,0,4,2,6,3,1,0,1,0,0,0,0,1,0,1,1,40,0.05,0.001844291371303444,4.744285714285715,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
27.0,0,5.5548,-0.1639,2.0,1.0,1.0,1.0,0,0,2.0,4,26.0,0.0,4.912654885736052,7.563200592358071,4.219507705176107,50,365,1.2542917324840932,44000,5,4,2,6,4,4,1,1,0,0,0,1,1,0,1,1,53,0.04,0.00737930379082265,4.798571428571429,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
14.0,0,5.5586,-0.1802,4.0,2.0,2.0,2.5,0,0,1.0,5,9.0,0.0,4.919980925828125,8.507950610049305,4.225372824628505,0,365,0.531622094071058,44000,0,4,2,5,3,1,0,2,0,0,0,0,1,0,1,1,28,0.07,0.0013585532831852372,4.845714285714286,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
33.0,0,5.6294,-0.1645,2.0,1.0,1.0,1.0,0,0,1.0,4,30.0,30.0,4.5217885770490405,8.815815203906352,4.537961436294641,0,365,1.6195045308812073,101207,7,4,2,6,3,2,0,2,1,0,1,0,1,0,1,1,36,0.05,0.0016566633209823284,4.83,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
32.0,0,5.5956,-0.2298,5.0,2.0,3.0,1.0,0,0,3.0,5,10.0,0.0,2.833213344056216,7.044032897274685,4.422448549172797,0,365,1.7321048357235955,37116,0,3,3,5,3,2,0,1,0,0,0,0,1,0,1,1,36,0.08,0.0017927843969852313,4.9399999999999995,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
22.0,0,5.5964,-0.229,4.0,2.0,2.0,0.0,0,0,3.0,5,0.0,0.0,2.1972245773362196,6.364750756851911,3.86702563949741,0,365,1.731286106710079,37116,0,4,3,5,3,1,0,2,0,0,0,0,1,0,1,1,29,0.1,0.0011871750921743625,4.911428571428571,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
22.0,0,5.596,-0.2292,4.0,1.0,2.0,0.0,0,0,3.0,5,10.0,0.0,2.6390573296152584,6.1092475827643655,3.586292865338835,0,365,1.7342950391834548,37116,0,4,3,5,3,1,0,1,0,0,0,0,1,0,1,1,26,0.11,0.0008381292813957569,4.945714285714287,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
33.0,0,5.6067,-0.253,8.0,4.0,4.0,3.5,0,0,2.0,4,0.0,0.0,4.174387269895637,7.573017256052546,4.59511985013459,48,365,1.1877109004156783,37116,2,4,2,5,1,3,0,1,0,0,0,0,1,0,1,1,27,0.07,0.0009605657594183639,4.855714285714286,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
38.0,0,5.6055,-0.0781,4.0,2.0,2.0,1.0,0,0,2.0,8,0.0,0.0,4.59511985013459,8.033334015880062,3.56953269648137,0,365,0.4096741871660111,70483,0,4,2,3,2,0,0,0,0,0,0,0,0,1,1,1,24,0.08,0.0013331052995563739,4.662857142857143,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False
